"","temp.Cat","treatment","genotype","fragment.ID","species","chamber.channel","run","individual.ID","Temp.C","rate.type","umol.cm2.hr","log.rate","K"
"15","19","shallow","312","SF2h","OFRA",4,1902,"SF2",19.517543590734,"GP",1.59803068037049,0.954753727405194,292.667543590734
"16","19","shallow","412","SL2h","DLAB",5,1902,"SL2",19.4272078960328,"GP",1.50942540460972,0.920053804470699,292.577207896033
"17","19","deep","122","MA2h","PAST",4,1903,"MA2",19.5259166376569,"GP",1.30222277581577,0.833875080515552,292.675916637657
"18","19","deep","222","MC2h","MCAV",1,1903,"MC2",19.3814150543369,"GP",1.22401579531914,0.799314478574957,292.531415054337
"19","19","deep","323","MF3h","OFRA",9,1903,"MF3",19.4688538494037,"GP",1.7455716212866,1.00998929418823,292.618853849404
"20","19","deep","421","ML1h","DLAB",10,1903,"ML1",19.4554085038848,"GP",1.80204529127223,1.0303496116929,292.605408503885
"21","19","shallow","113","SA3h","PAST",7,1903,"SA3",19.6353644233903,"GP",1.16757766698647,0.7736102615503,292.78536442339
"22","19","shallow","212","SC2h","MCAV",5,1903,"SC2",19.4251677819472,"GP",0.780322228974177,0.576794375434073,292.575167781947
"23","19","shallow","311","SF1h","OFRA",6,1903,"SF1",19.242524370809,"GP",0.994920491854598,0.690604195840678,292.392524370809
"24","19","shallow","411","SL1h","DLAB",2,1903,"SL1",19.445406834026,"GP",1.57390229646096,0.94542315059064,292.595406834026
"25","21","deep","121","MA1d","PAST",1,2101,"MA1",21.4313216815846,"GP",1.51652133653069,0.922877525851501,294.581321681585
"26","21","deep","221","MC1d","MCAV",6,2101,"MC1",21.3346388900926,"GP",1.36613450769461,0.861257614191596,294.484638890093
"27","21","deep","322","MF2d","OFRA",2,2101,"MF2",21.3141103601389,"GP",1.39357305722955,0.872787252563859,294.464110360139
"28","21","deep","423","ML3d","DLAB",9,2101,"ML3",21.3543173771345,"GP",2.00459808295304,1.10014380960865,294.504317377134
"29","21","shallow","111","SA1d","PAST",8,2101,"SA1",21.22843859954,"GP",2.12259085870758,1.13866306065913,294.37843859954
"30","21","shallow","212","SC2d","MCAV",4,2101,"SC2",21.2800682304275,"GP",1.40764988245422,0.878651119223407,294.430068230427
"31","21","shallow","313","SF3d","OFRA",10,2101,"SF3",21.3894061503995,"GP",1.51087473847341,0.920631193815021,294.539406150399
"32","21","shallow","413","SL3d","DLAB",7,2101,"SL3",21.4866997969098,"GP",2.95838664836714,1.37583653022306,294.63669979691
