"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type"
"3125",301.208054568434,1.20292260894397,1.32361327775322,1.22709965910318,"MF2","deep","GP"
"3126",301.277888431566,1.20202908619765,1.32177855711197,1.22602268652072,"MF2","deep","GP"
"3127",301.347722294699,1.20105279127818,1.31981461004181,1.2248411181188,"MF2","deep","GP"
"3128",301.417556157831,1.19999205850102,1.31772033561162,1.22355326566194,"MF2","deep","GP"
"3129",301.487390020964,1.19884520343695,1.31549465549156,1.22215743702777,"MF2","deep","GP"
"3130",301.557223884096,1.19761052343939,1.313136514912,1.22065193728268,"MF2","deep","GP"
"3131",301.627057747229,1.19628629821329,1.31064488361377,1.21903506979511,"MF2","deep","GP"
"3132",301.696891610361,1.19487079042657,1.30801875678837,1.21730513738613,"MF2","deep","GP"
"3133",301.766725473494,1.193362246365,1.30555616811538,1.21546044351641,"MF2","deep","GP"
"3134",301.836559336626,1.19175889663139,1.30366000928045,1.21349929350894,"MF2","deep","GP"
"3135",301.906393199759,1.19005895688976,1.30163537334174,1.21141999580635,"MF2","deep","GP"
"3136",301.976227062892,1.1882606286554,1.29948052306722,1.20922086326209,"MF2","deep","GP"
"3137",302.046060926024,1.18636210013126,1.29719372896689,1.20690021446392,"MF2","deep","GP"
"3138",302.115894789157,1.18436154709134,1.29477327070895,1.20445637508862,"MF2","deep","GP"
"3139",302.185728652289,1.18225713381147,1.2922174385684,1.20188767928635,"MF2","deep","GP"
"3140",302.255562515422,1.18004701404792,1.28952453490675,1.19919247109315,"MF2","deep","GP"
"3141",302.325396378554,1.17772933206395,1.28669287568104,1.19636910586972,"MF2","deep","GP"
"3142",302.395230241687,1.1753022237047,1.2837207919807,1.19341595176475,"MF2","deep","GP"
"3143",302.465064104819,1.17276381752013,1.2806066315901,1.19033139120068,"MF2","deep","GP"
"3144",302.534897967952,1.17000503017839,1.27734876057503,1.18711382237987,"MF2","deep","GP"
"3145",302.604731831084,1.16689067268494,1.27394556489063,1.18376166080882,"MF2","deep","GP"
"3146",302.674565694217,1.16365798207353,1.27039545200866,1.18027334083803,"MF2","deep","GP"
"3147",302.744399557349,1.16030543073007,1.26669685256147,1.17664731721517,"MF2","deep","GP"
"3148",302.814233420482,1.1568314990472,1.26284822200006,1.17288206664865,"MF2","deep","GP"
"3149",302.884067283614,1.15323467662357,1.25884804226346,1.16897608937906,"MF2","deep","GP"
"3150",302.953901146747,1.14951346348656,1.25469482345643,1.16492791075548,"MF2","deep","GP"
"3151",303.023735009879,1.14566637133716,1.25038710553241,1.16073608281381,"MF2","deep","GP"
"3152",303.093568873012,1.14169192481569,1.24592345997856,1.15639918585397,"MF2","deep","GP"
"3153",303.163402736145,1.13712902581417,1.24130249149947,1.15191583001282,"MF2","deep","GP"
"3154",303.233236599277,1.13153207436435,1.23652283969611,1.14728465682972,"MF2","deep","GP"
"3155",303.30307046241,1.12542127030901,1.23158318073643,1.1425043408012,"MF2","deep","GP"
"3156",303.372904325542,1.11918088494591,1.22648222901396,1.13757359092161,"MF2","deep","GP"
"3157",303.442738188675,1.11281113058845,1.22121873879061,1.13249115220626,"MF2","deep","GP"
"3158",303.512572051807,1.10631225360473,1.2157915058199,1.12725580719356,"MF2","deep","GP"
"3159",303.58240591494,1.09968453419025,1.21019936894653,1.1218663774228,"MF2","deep","GP"
"3160",303.652239778072,1.09292828610673,1.20444121167859,1.116321724884,"MF2","deep","GP"
"3161",303.722073641205,1.08604385638739,1.1985159637282,1.11062075343653,"MF2","deep","GP"
"3162",303.791907504337,1.07903162500944,1.1924226025166,1.10476241019274,"MF2","deep","GP"
"3163",303.86174136747,1.07189200453443,1.18616015463981,1.09874568686356,"MF2","deep","GP"
"3164",303.931575230602,1.06462543971727,1.17972769729057,1.09256962106225,"MF2","deep","GP"
"3165",304.001409093735,1.05723240708475,1.17312435963289,1.08623329756339,"MF2","deep","GP"
"3166",304.071242956867,1.04971341448436,1.16634932412499,1.07973584951351,"MF2","deep","GP"
"3167",304.14107682,1.04206900060444,1.15940182778696,1.07307645959038,"MF2","deep","GP"
"3168",304.210910683133,1.03429973446663,1.15228116340915,1.06625436110775,"MF2","deep","GP"
"3169",304.280744546265,1.02640621489164,1.14498668069782,1.05926883906267,"MF2","deep","GP"
"3170",304.350578409398,1.01838906993941,1.13751778735429,1.05211923112244,"MF2","deep","GP"
"3171",304.42041227253,1.01024895632485,1.12987395008421,1.04480492854856,"MF2","deep","GP"
"3172",304.490246135663,1.00198655881022,1.1220546955337,1.03732537705506,"MF2","deep","GP"
"3173",304.560079998795,0.993602589575479,1.11405961114926,1.02968007759882,"MF2","deep","GP"
"3174",304.629913861928,0.985097787567675,1.10588834595836,1.02186858709963,"MF2","deep","GP"
"3175",304.69974772506,0.976472917830755,1.09754061126833,1.01389051908804,"MF2","deep","GP"
"3176",304.769581588193,0.967728770817001,1.08901618128065,1.00574554427894,"MF2","deep","GP"
"3177",304.839415451325,0.958866161681395,1.08031489361875,0.997433391069479,"MF2","deep","GP"
"3178",304.909249314458,0.949885929560247,1.0714366497671,0.988953845959653,"MF2","deep","GP"
"3179",304.97908317759,0.940788936835338,1.06238141541983,0.98030675389447,"MF2","deep","GP"
"3180",305.048917040723,0.93157606838493,1.05314922073756,0.971492018526616,"MF2","deep","GP"
"3181",305.118750903855,0.922248230823039,1.04383303608178,0.962509602398944,"MF2","deep","GP"
"3182",305.188584766988,0.912806351728165,1.03459399913489,0.953359527046142,"MF2","deep","GP"
"3183",305.25841863012,0.903251378862851,1.02516278910354,0.944041873015297,"MF2","deep","GP"
"3184",305.328252493253,0.893584279385429,1.01553915430077,0.934556779805349,"MF2","deep","GP"
"3185",305.398086356386,0.883806039055197,1.00572291896221,0.924904445725552,"MF2","deep","GP"
"3186",305.467920219518,0.873917661432298,0.995713983582825,0.915085127673316,"MF2","deep","GP"
"3187",305.537754082651,0.863641653058032,0.985512325137358,0.905099140832178,"MF2","deep","GP"
"3188",305.607587945783,0.853154803800612,0.975117997183677,0.894946858290567,"MF2","deep","GP"
"3189",305.677421808916,0.842560490730431,0.964531129848953,0.884628710582766,"MF2","deep","GP"
"3190",305.747255672048,0.831859916387183,0.953751929698373,0.874145185153054,"MF2","deep","GP"
"3191",305.817089535181,0.821054294922482,0.94278067948704,0.863496825744808,"MF2","deep","GP"
"3192",305.886923398313,0.810144851191474,0.931617737795684,0.852684231716136,"MF2","deep","GP"
"3193",305.956757261446,0.79913281985347,0.920263538551517,0.841708057284153,"MF2","deep","GP"
"3194",306.026591124578,0.788019444482559,0.908718590435536,0.830569010699834,"MF2","deep","GP"
"3195",306.096424987711,0.776805976689372,0.896983476178261,0.819267853355849,"MF2","deep","GP"
"3196",306.166258850843,0.765493675255103,0.88505885174619,0.807805398829923,"MF2","deep","GP"
"3197",306.236092713976,0.754083805278502,0.872945445421294,0.796182511866151,"MF2","deep","GP"
"3198",306.305926577108,0.742577637337064,0.860644056776703,0.784400107297289,"MF2","deep","GP"
"3199",306.375760440241,0.730976446662954,0.848155555551486,0.77245914891069,"MF2","deep","GP"
"3200",306.445594303373,0.719281512334663,0.835480880428162,0.760360648261081,"MF2","deep","GP"
"3201",306.515428166506,0.707494116485074,0.822621037716635,0.748105663433272,"MF2","deep","GP"
"3202",306.585262029639,0.695615543526477,0.809577099948395,0.735695297757889,"MF2","deep","GP"
"3203",306.655095892771,0.683647079393379,0.796350204385447,0.723130698483667,"MF2","deep","GP"
"3204",306.724929755904,0.671590010803427,0.782941551448115,0.710413055409422,"MF2","deep","GP"
"3205",306.794763619036,0.659445624537033,0.76935240306646,0.697543599479214,"MF2","deep","GP"
"3206",306.864597482169,0.646970574218506,0.755592670764659,0.684523601344308,"MF2","deep","GP"
"3207",306.934431345301,0.633858205863554,0.74185000525701,0.671354369895011,"MF2","deep","GP"
"3208",307.004265208434,0.620654990496524,0.727937558376998,0.658037250766293,"MF2","deep","GP"
"3209",307.074099071566,0.607362380553372,0.713856822206115,0.644573624820281,"MF2","deep","GP"
"3210",307.143932934699,0.593981824554462,0.699609335962174,0.63096490660945,"MF2","deep","GP"
"3211",307.213766797831,0.580514766366209,0.685196684047702,0.617212542823597,"MF2","deep","GP"
"3212",307.283600660964,0.566962644489428,0.670620494068593,0.603318010724201,"MF2","deep","GP"
"3213",307.353434524096,0.553326891374358,0.655882434827826,0.58928281656934,"MF2","deep","GP"
"3214",307.423268387229,0.539608932762627,0.64098421429937,0.575108494032692,"MF2","deep","GP"
"3215",307.493102250361,0.525810187055843,0.625927577586747,0.560796602619447,"MF2","deep","GP"
"3216",307.562936113494,0.511932064711008,0.610714304871262,0.546348726082563,"MF2","deep","GP"
"3217",307.632769976626,0.497975967662457,0.595346209354318,0.531766470842167,"MF2","deep","GP"
"3218",307.702603839759,0.483943288770367,0.579825135198545,0.517051464411251,"MF2","deep","GP"
"3219",307.772437702892,0.469835411295384,0.56415295547184,0.502205353830234,"MF2","deep","GP"
"3220",307.842271566024,0.455653708399247,0.548331570098677,0.487229804113233,"MF2","deep","GP"
"3221",307.912105429157,0.44134943480292,0.532362903822766,0.472126496708632,"MF2","deep","GP"
"3222",307.981939292289,0.426522286341502,0.516248904184968,0.45689712797645,"MF2","deep","GP"
"3223",308.051773155422,0.411613991560938,0.499991539520038,0.441543407684689,"MF2","deep","GP"
"3224",308.121607018554,0.396626027729908,0.483592796975945,0.426067057527096,"MF2","deep","GP"
"3225",308.191440881687,0.381559862271949,0.467054680558866,0.410469809664159,"MF2","deep","GP"
"3226",308.261274744819,0.366416952199143,0.450379209207415,0.394753405289694,"MF2","deep","GP"
"3227",308.331108607952,0.351198743573286,0.433829884829827,0.378919593224287,"MF2","deep","GP"
"3228",308.400942471084,0.335906670994762,0.417243911253077,0.362970128537773,"MF2","deep","GP"
"3229",308.470776334217,0.320542157118497,0.400544735500392,0.346906771201944,"MF2","deep","GP"
"3230",308.540610197349,0.305106612196903,0.383734303922396,0.33073128477516,"MF2","deep","GP"
"3231",308.610444060482,0.289601433649239,0.366814560702494,0.314445435119927,"MF2","deep","GP"
"3232",308.680277923614,0.274028005657086,0.349787446501078,0.298050989154687,"MF2","deep","GP"
"3233",308.750111786747,0.258387698785434,0.334373202661128,0.281549713640795,"MF2","deep","GP"
"3234",308.81994564988,0.242681869629031,0.319355839127475,0.264943374005676,"MF2","deep","GP"
"3235",308.889779513012,0.226911860483313,0.304860069646146,0.248233733202751,"MF2","deep","GP"
"3236",308.959613376145,0.211078999039517,0.290308666629548,0.23142255060889,"MF2","deep","GP"
"3237",309.029447239277,0.195184598103333,0.275702745945067,0.214511580959839,"MF2","deep","GP"
"3238",309.09928110241,0.179229955336744,0.26104341058492,0.197502573324231,"MF2","deep","GP"
"3239",309.169114965542,0.163216353022147,0.246331750520356,0.180397270116173,"MF2","deep","GP"
