"","term","estimate","std.error","statistic","p.value","genotype","species","treatment","rate.type","fragment.ID2"
"166","E",34.6472675988277,674264.015062692,5.13853132079224e-05,0.999963665096601,"ML1","DLAB","deep","R","ML"
"167","Eh",34.5409281944268,674263.97644568,5.12276043227255e-05,0.999963776613623,"ML1","DLAB","deep","R","ML"
"168","Th",291.938449163151,12975.9859154338,0.0224983635976297,0.984093267310202,"ML1","DLAB","deep","R","ML"
"169","lnc",1.36816583537789,0.262356201362786,5.21491707941752,0.00644986601179565,"SL3","DLAB","shallow","GP","SL"
"170","E",0.29479413869508,0.350649407595918,0.840709073818813,0.447829651762976,"SL3","DLAB","shallow","GP","SL"
"171","Eh",3.39849061276245,1.75659564817484,1.9347028533821,0.125136870611929,"SL3","DLAB","shallow","GP","SL"
"172","Th",306.654818881409,3.02202289280491,101.473360645784,5.65538199168108e-08,"SL3","DLAB","shallow","GP","SL"
"173","lnc",1.35282514090175,0.0888716149792724,15.2222409958149,0.00010860356702773,"SL2","DLAB","shallow","GP","SL"
"174","E",0.363547963672458,0.128021279379336,2.83974637212647,0.0468796727690172,"SL2","DLAB","shallow","GP","SL"
"175","Eh",3.73915758941896,0.599312441334638,6.23907887026682,0.00336297446889238,"SL2","DLAB","shallow","GP","SL"
"176","Th",306.831688508315,0.98072943497228,312.860690794895,6.26206645095657e-10,"SL2","DLAB","shallow","GP","SL"
"177","lnc",1.91230023314282,0.795631803110608,2.4034989874292,0.0955733939496879,"SL1","DLAB","shallow","GP","SL"
"178","E",0.907724363290217,0.770592382200116,1.17795657504241,0.323748614638962,"SL1","DLAB","shallow","GP","SL"
"179","Eh",2.42686737892213,0.407190898572002,5.96002363371341,0.0094487621176896,"SL1","DLAB","shallow","GP","SL"
"180","Th",300.218775553556,4.93023663091477,60.8933805876681,9.75751002891621e-06,"SL1","DLAB","shallow","GP","SL"
"181","lnc",1.20371573952498,0.128824138547499,9.34386795127804,0.000730448266327081,"ML3","DLAB","deep","GP","ML"
"182","E",0.219671442000797,0.193868416702008,1.1330955590278,0.320486210489992,"ML3","DLAB","deep","GP","ML"
"183","Eh",4.05847478980621,1.38988814610059,2.92000100957224,0.0432434228604387,"ML3","DLAB","deep","GP","ML"
"184","Th",307.869398892655,1.50484730233392,204.585141904544,3.42440971558607e-09,"ML3","DLAB","deep","GP","ML"
"185","lnc",1.23073949522306,0.0380059387908388,32.3828205375031,5.42171406010243e-06,"ML2","DLAB","deep","GP","ML"
"186","E",0.176663229166606,0.0604784151706149,2.92109554571202,0.0431961514925895,"ML2","DLAB","deep","GP","ML"
"187","Eh",5.55365956920519,0.808706561277839,6.867335860896,0.00235488803805431,"ML2","DLAB","deep","GP","ML"
"188","Th",307.908301876513,0.350686009458828,878.017068179227,1.00956819657838e-11,"ML2","DLAB","deep","GP","ML"
"189","lnc",1.22177223947602,0.160619676279992,7.60661624884757,0.00471535272531262,"ML1","DLAB","deep","GP","ML"
"190","E",0,0.236000794856161,0,1,"ML1","DLAB","deep","GP","ML"
"191","Eh",5.75272824818438,4.0558101997846,1.41839187851786,0.251112365611581,"ML1","DLAB","deep","GP","ML"
"192","Th",308.491100104817,1.37072203156231,225.057373414512,1.93446172546764e-07,"ML1","DLAB","deep","GP","ML"
