fragment.ID.full,Temp.C,fragment.ID,species,temp.Cat,treatment,genotype,rate.type,umol.cm2.hr
3602_ML1a,36.13771908,ML1a,DLAB,36,deep,ML1,NP,-0.82309878
3602_SA1a,36.25955211,SA1a,PAST,36,shallow,SA1,NP,-0.916653428
3602_SC1a,36.09633697,SC1a,MCAV,36,shallow,SC1,NP,-0.263837405
3602_SF3a,36.37937032,SF3a,OFRA,36,shallow,SF3,NP,-0.431559811
3602_SL3a,36.1597309,SL3a,DLAB,36,shallow,SL3,NP,-1.037017661
3603_MA2a,36.85164852,MA2a,PAST,36,deep,MA2,NP,-0.294105809
3603_MC1a,36.65033847,MC1a,MCAV,36,deep,MC1,NP,-0.310075525
3603_MF2a,36.78728746,MF2a,OFRA,36,deep,MF2,NP,-0.536662167
3603_ML3a,36.80486897,ML3a,DLAB,36,deep,ML3,NP,-0.530512952
3603_SA2a,36.78332632,SA2a,PAST,36,shallow,SA2,NP,-0.781207513
3603_SC2a,36.71211758,SC2a,MCAV,36,shallow,SC2,NP,-0.649116408
3603_SF2a,36.65934967,SF2a,OFRA,36,shallow,SF2,NP,-0.520171165
3603_SL2a,36.71239797,SL2a,DLAB,36,shallow,SL2,NP,-0.459089533
1901_MA1h,19.37902688,MA1h,PAST,19,deep,MA1,GP,1.470965259
1901_MC1h,19.33356546,MC1h,MCAV,19,deep,MC1,GP,1.295957347
1901_MF2h,19.40560019,MF2h,OFRA,19,deep,MF2,GP,1.635739614
1901_ML2h,19.3328224,ML2h,DLAB,19,deep,ML2,GP,1.907688384
1901_SA2h,19.32744307,SA2h,PAST,19,shallow,SA2,GP,1.114627539
1901_SC1h,19.39425299,SC1h,MCAV,19,shallow,SC1,GP,1.065338067
1901_SF3h,19.49839825,SF3h,OFRA,19,shallow,SF3,GP,2.837185301
1901_SL3h,19.2199366,SL3h,DLAB,19,shallow,SL3,GP,1.688542355
1902_MA3h,19.48575875,MA3h,PAST,19,deep,MA3,GP,1.875278379
1902_MC3h,19.43202313,MC3h,MCAV,19,deep,MC3,GP,1.477020919
1902_MF1h,19.39865554,MF1h,OFRA,19,deep,MF1,GP,1.686288595
1902_ML3h,19.53604715,ML3h,DLAB,19,deep,ML3,GP,1.938498465
1902_SA1h,19.4777328,SA1h,PAST,19,shallow,SA1,GP,1.674691663
1902_SC3h,19.3466441,SC3h,MCAV,19,shallow,SC3,GP,0.800098668
1902_SF2h,19.51564747,SF2h,OFRA,19,shallow,SF2,GP,1.59803068
1902_SL2h,19.42206892,SL2h,DLAB,19,shallow,SL2,GP,1.509425405
1903_MA2h,19.52896285,MA2h,PAST,19,deep,MA2,GP,1.302222776
1903_MC2h,19.42025155,MC2h,MCAV,19,deep,MC2,GP,1.224015795
1903_MF3h,19.49347799,MF3h,OFRA,19,deep,MF3,GP,1.745571621
1903_ML1h,19.45609129,ML1h,DLAB,19,deep,ML1,GP,1.802045291
1903_SA3h,19.65394764,SA3h,PAST,19,shallow,SA3,GP,1.167577667
1903_SC2h,19.42447989,SC2h,MCAV,19,shallow,SC2,GP,0.780322229
1903_SF1h,19.29413575,SF1h,OFRA,19,shallow,SF1,GP,0.994920492
1903_SL1h,19.44925397,SL1h,DLAB,19,shallow,SL1,GP,1.573902296
2101_MA1d,21.45057999,MA1d,PAST,21,deep,MA1,GP,1.516521337
2101_MC1d,21.35530755,MC1d,MCAV,21,deep,MC1,GP,1.366134508
2101_MF2d,21.36124472,MF2d,OFRA,21,deep,MF2,GP,1.393573057
2101_ML3d,21.40562804,ML3d,DLAB,21,deep,ML3,GP,2.004598083
2101_SA1d,21.27303883,SA1d,PAST,21,shallow,SA1,GP,2.122590859
2101_SC2d,21.33298096,SC2d,MCAV,21,shallow,SC2,GP,1.407649882
2101_SF3d,21.40844613,SF3d,OFRA,21,shallow,SF3,GP,1.510874738
2101_SL3d,21.51567396,SL3d,DLAB,21,shallow,SL3,GP,2.958386648
2102_MA3d,21.38205419,MA3d,PAST,21,deep,MA3,GP,1.565989862
2102_MC3d,21.52738297,MC3d,MCAV,21,deep,MC3,GP,1.446058617
2102_MF3d,21.743455,MF3d,OFRA,21,deep,MF3,GP,2.387580721
