"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K","fragment.ID2","fitted","residuals"
"51","2102_ML2dD",21.26836022,"ML2d","DLAB",21,"deep","ML2","R",0.579180968,0.456906337952726,294.41836022,"ML",0.433479034165457,0.023427303787269
"52","2103_ML1dD",21.8270676,"ML1d","DLAB",21,"deep","ML1","R",0.684017862,0.521182522652244,294.9770676,"ML",0.439573980420857,0.081608542231386
"53","2301_ML3cD",23.11848415,"ML3c","DLAB",23,"deep","ML3","R",0.388299946,0.328079938162127,296.26848415,"ML",0.453574084175754,-0.125494146013627
"54","2302_ML1cD",23.1751675,"ML1c","DLAB",23,"deep","ML1","R",0.487329789,0.396982424327289,296.3251675,"ML",0.454185786500639,-0.05720336217335
"55","2303_ML2cD",23.51053837,"ML2c","DLAB",23,"deep","ML2","R",0.501059632,0.406171280043394,296.66053837,"ML",0.457800181679383,-0.051628901635989
"56","2601_ML3bD",26.27615762,"ML3b","DLAB",26,"deep","ML3","R",0.723917808,0.54459949593099,299.42615762,"ML",0.487297428860092,0.0573020670708979
"57","2603_ML2bD",26.28826225,"ML2b","DLAB",26,"deep","ML2","R",0.537432729,0.430113966245389,299.43826225,"ML",0.48742533550401,-0.0573113692586214
"58","2902_ML2eD",29.31395372,"ML2e","DLAB",29,"deep","ML2","R",0.657182906,0.505119116178772,302.46395372,"ML",0.519075963988605,-0.0139568478098336
"59","2903_ML3eD",29.63787596,"ML3e","DLAB",29,"deep","ML3","R",0.781239913,0.577309702141596,302.78787596,"ML",0.522426908810617,0.054882793330979
"60","3201_ML2gD",31.79266374,"ML2g","DLAB",32,"deep","ML2","R",0.782387259,0.57795362249817,304.94266374,"ML",0.544536792032175,0.0334168304659951
"61","3202_ML3gD",32.38772117,"ML3g","DLAB",32,"deep","ML3","R",0.828438309,0.603462219454602,305.53772117,"ML",0.550587615370587,0.0528746040840151
"62","3203_ML1gD",32.79479437,"ML1g","DLAB",32,"deep","ML1","R",0.636331313,0.492456731736031,305.94479437,"ML",0.554713368367397,-0.0622566366313659
"63","3401_ML2fD",34.23538693,"ML2f","DLAB",34,"deep","ML2","R",0.54252502,0.43342069708725,307.38538693,"ML",0.569226244812971,-0.135805547725721
"64","3402_ML1fD",34.0524044,"ML1f","DLAB",34,"deep","ML1","R",0.86970935,0.625782990978855,307.2024044,"ML",0.567390381191819,0.058392609787036
"65","3403_ML3fD",33.82543499,"ML3f","DLAB",34,"deep","ML3","R",0.809098529,0.592828670933256,306.97543499,"ML",0.565110156151069,0.0277185147821866
"66","3601_ML2aD",35.87921476,"ML2a","DLAB",36,"deep","ML2","R",0.772858021,0.57259294548743,309.02921476,"ML",0.585621273803687,-0.013028328316257
"67","3602_ML1aD",36.04469143,"ML1a","DLAB",36,"deep","ML1","R",1.024792741,0.705467345196914,309.19469143,"ML",0.587262029124554,0.11820531607236
"68","3603_ML3aD",37.17003587,"ML3a","DLAB",36,"deep","ML3","R",0.70694377,0.534704502437874,310.32003587,"ML",0.598373773443407,-0.0636692710055337
"69","1901_SL3hD",19.21579877,"SL3h","DLAB",19,"shallow","SL3","R",0.483027135,0.394085360358596,292.36579877,"SL",0.390101999148586,0.00398336121001003
"70","1902_SL2hD",19.43234687,"SL2h","DLAB",19,"shallow","SL2","R",0.507843393,0.410680413397141,292.58234687,"SL",0.417770924571059,-0.00709051117391818
"71","1903_SL1hD",19.44155969,"SL1h","DLAB",19,"shallow","SL1","R",0.521212654,0.419507815470186,292.59155969,"SL",0.41876794061599,0.000739874854196021
"72","2101_SL3dD",21.45772564,"SL3d","DLAB",21,"shallow","SL3","R",0.789464391,0.58191635217153,294.60772564,"SL",0.498285066388465,0.0836312857830654
"73","2102_SL1dD",21.2696556,"SL1d","DLAB",21,"shallow","SL1","R",0.694014226,0.527100994069453,294.4196556,"SL",0.495397407352394,0.031703586717059
"74","2103_SL2dD",21.50404909,"SL2d","DLAB",21,"shallow","SL2","R",0.465332141,0.382081934178667,294.65404909,"SL",0.498962373555556,-0.116880439376889
"75","2301_SL2cD",23.22388257,"SL2c","DLAB",23,"shallow","SL2","R",0.841875292,0.610784233043912,296.37388257,"SL",0.520138951322391,0.0906452817215212
"76","2302_SL1cD",23.17216245,"SL1c","DLAB",23,"shallow","SL1","R",0.678744234,0.518046034150975,296.32216245,"SL",0.519549316130576,-0.00150328197960026
"77","2303_SL3cD",23.62773295,"SL3c","DLAB",23,"shallow","SL3","R",0.566456265,0.448815912092823,296.77773295,"SL",0.524713113267897,-0.0758972011750732
"78","2601_SL3bD",26.34459758,"SL3b","DLAB",26,"shallow","SL3","R",0.978372864,0.682274720996752,299.49459758,"SL",0.5548652127291,0.127409508267653
"79","2603_SL2bD",26.23248561,"SL2b","DLAB",26,"shallow","SL2","R",0.608039514,0.475015743837939,299.38248561,"SL",0.553633961081896,-0.0786182172439577
"80","2901_SL3eD",29.05268206,"SL3e","DLAB",29,"shallow","SL3","R",0.629122754,0.488041682213611,302.20268206,"SL",0.584326202176019,-0.0962845199624081
"81","2902_SL2eD",29.1491081,"SL2e","DLAB",29,"shallow","SL2","R",0.804730225,0.590411120780815,302.2991081,"SL",0.585365457309639,0.00504566347117685
"82","2903_SL1eD",29.83615858,"SL1e","DLAB",29,"shallow","SL1","R",0.734324106,0.550617773233822,302.98615858,"SL",0.592751159422452,-0.0421333861886301
"83","3201_SL3gD",31.87590612,"SL3g","DLAB",32,"shallow","SL3","R",1.009473286,0.697872640964562,305.02590612,"SL",0.614482146136577,0.0833904948279848
"84","3202_SL2gD",32.33622934,"SL2g","DLAB",32,"shallow","SL2","R",0.771514141,0.571834627792235,305.48622934,"SL",0.619346184777243,-0.0475115569850073
"85","3203_SL1gD",33.17868881,"SL1g","DLAB",32,"shallow","SL1","R",0.945697399,0.665620472700344,306.32868881,"SL",0.62821023486239,0.0374102378379538
"86","3401_SL3fD",34.46558641,"SL3f","DLAB",34,"shallow","SL3","R",0.741289834,0.554626122519271,307.61558641,"SL",0.64165677261412,-0.0870306500948486
"87","3402_SL1fD",34.13303109,"SL1f","DLAB",34,"shallow","SL1","R",1.109389369,0.746398507025927,307.28303109,"SL",0.638192759895166,0.108205747130761
"88","3403_SL2fD",33.9608438,"SL2f","DLAB",34,"shallow","SL2","R",0.692203491,0.526031520501053,307.1108438,"SL",0.636396249003244,-0.110364728502191
"89","3601_SL1aD",35.37752706,"SL1a","DLAB",36,"shallow","SL1","R",0.940201777,0.662791976429587,308.52752706,"SL",0.651117549769261,0.0116744266603265
"90","3602_SL3aD",36.10300431,"SL3a","DLAB",36,"shallow","SL3","R",1.48049908,0.908459781865933,309.25300431,"SL",0.658604043158391,0.249855738707542
"91","3603_SL2aD",37.03575264,"SL2a","DLAB",36,"shallow","SL2","R",0.645093596,0.497797279863185,310.18575264,"SL",0.668177994140521,-0.170380714277336
"92","1901_MC1h",19.33356546,"MC1h","MCAV",19,"deep","MC1","GP",1.295957347,0.831149901194171,292.48356546,"MC",0.847928269391774,-0.0167783681976031
"93","1902_MC3h",19.43202313,"MC3h","MCAV",19,"deep","MC3","GP",1.477020919,0.907056595768291,292.58202313,"MC",0.849390156368373,0.057666439399918
"94","1903_MC2h",19.42025155,"MC2h","MCAV",19,"deep","MC2","GP",1.224015795,0.799314478431462,292.57025155,"MC",0.8492154443861,-0.0499009659546388
