,temp.Cat,treatment,genotype,fragment.ID,species,chamber.channel,run,individual.ID,NP,R,GP,Temp.C
126,32,shallow,211,SC1g,MCAV,5,3202,SC1,0.9971037,-0.417867221,1.41497092,29.88560301
127,32,shallow,313,SF3g,OFRA,9,3202,SF3,1.423603232,-0.930910015,2.354513247,32.31384154
128,32,shallow,412,SL2g,DLAB,2,3202,SL2,1.393623156,-0.771514141,2.165137297,32.32889807
129,32,deep,123,MA3g,PAST,8,3203,MA3,0.11936633,-0.655169676,0.774536006,32.52558868
130,32,deep,223,MC3g,MCAV,5,3203,MC3,0.560805087,-0.443471991,1.004277078,32.88026048
131,32,deep,321,MF1g,OFRA,3,3203,MF1,0.606696739,-1.050441154,1.657137893,32.77720881
132,32,deep,421,ML1g,DLAB,10,3203,ML1,0.842079196,-0.636331313,1.478410509,32.71384668
133,32,shallow,113,SA3g,PAST,9,3203,SA3,-0.033098739,-0.592273553,0.559174814,32.67825481
134,32,shallow,212,SC2g,MCAV,7,3203,SC2,0.277890536,-0.714058698,0.991949234,33.03472995
135,32,shallow,311,SF1g,OFRA,6,3203,SF1,0.031561729,-0.870187967,0.901749696,32.88679734
136,32,shallow,411,SL1g,DLAB,4,3203,SL1,-0.271940155,-0.945697399,0.673757244,32.98600666
137,34,deep,123,MA3f,PAST,1,3401,MA3,0.140123084,-0.55433904,0.694462124,34.1739975
138,34,deep,221,MC1f,MCAV,8,3401,MC1,0.119141713,-0.684285108,0.803426821,34.2096512
139,34,deep,323,MF3f,OFRA,6,3401,MF3,-0.357600125,-0.867897882,0.510297757,34.16675433
140,34,deep,322,ML2f,DLAB,3,3401,ML2,0.651105685,-0.54252502,1.193630705,34.28978529
141,34,shallow,113,SA3f,PAST,5,3401,SA3,-0.133737393,-0.443191684,0.30945429,34.1245101
142,34,shallow,211,SC1f,MCAV,2,3401,SC1,0.440334823,-0.591621397,1.03195622,34.29580713
143,34,shallow,311,SF1f,OFRA,9,3401,SF1,-0.555646012,-0.931978592,0.37633258,34.29568771
144,34,shallow,413,SL3f,DLAB,10,3401,SL3,0.072957448,-0.741289834,0.814247282,34.47014998
145,34,deep,122,MA2f,PAST,10,3402,MA2,-0.017951333,-0.493500781,0.475549449,34.29808099
146,34,deep,223,MC3f,MCAV,2,3402,MC3,0.475723926,-0.689950262,1.165674188,34.1725818
147,34,deep,321,MF1f,OFRA,7,3402,MF1,-0.327656266,-1.045544708,0.717888442,34.27270203
148,34,deep,421,ML1f,DLAB,4,3402,ML1,0.796006415,-0.86970935,1.665715765,34.12621505
