"","fragment.ID.full","Intercept","umol.L.sec","Temp.C","fragment.ID","species","genotype","chamber.channel","run","temp.Cat","light_dark","treatment","surf.area.cm2","volume.mls","volume","umol.sec","BLANK","blank.rate"
"14","1901_SC1hD",219.197115193779,-0.00235487593773118,19.4156156904848,"SC1h","MCAV","211",4,1901,19,"dark","shallow",20.4368248538625,598,0.598,-0.00140821581076325,"0",0.000105276849114755
"15","1901_SF3h",219.449900832757,0.00794844906541277,19.498398248836,"SF3h","OFRA","313",7,1901,19,"light","shallow",8.77451801251858,602,0.602,0.00478496633737849,"0",-7.35685278947398e-05
"16","1901_SF3hD",221.651284708753,-0.00324160730747073,19.4930411340203,"SF3h","OFRA","313",7,1901,19,"dark","shallow",8.77451801251858,602,0.602,-0.00195144759909738,"0",0.000105276849114755
"17","1901_SL3h",212.99547700735,0.00789425781940084,19.2199366021682,"SL3h","DLAB","413",8,1901,19,"light","shallow",14.2464787430494,595,0.595,0.0046970834025435,"0",-7.35685278947398e-05
"18","1901_SL3hD",215.430100039187,-0.00303568587974497,19.2157987704724,"SL3h","DLAB","413",8,1901,19,"dark","shallow",14.2464787430494,595,0.595,-0.00180623309844826,"0",0.000105276849114755
"19","1902_Blkh",222.830950852264,-7.35013893228376e-05,19.528343493931,"1902Blkh","BLANK","BLANK",7,1902,19,"light","blank",NA,617,0.617,-4.53503572121908e-05,"1",-4.53503572121908e-05
"20","1902_BlkhD",223.131188916001,0.000383313535319552,19.5348278024061,"1902Blkh","BLANK","BLANK",7,1902,19,"dark","blank",NA,617,0.617,0.000236504451292164,"1",0.000236504451292164
"21","1902_MA3h",240.894460543522,0.01355953673345,19.4857587523693,"MA3h","PAST","123",2,1902,19,"light","deep",19.6164296733004,576,0.576,0.00781029315846719,"0",-4.53503572121908e-05
"22","1902_MA3hD",241.832842757839,-0.00369142252897928,19.4932748243545,"MA3h","PAST","123",2,1902,19,"dark","deep",19.6164296733004,576,0.576,-0.00212625937669207,"0",0.000236504451292164
"23","1902_MC3h",201.354949942878,0.0110071683287673,19.4320231324246,"MC3h","MCAV","223",6,1902,19,"light","deep",20.560682471603,580,0.58,0.00638415763068503,"0",-4.53503572121908e-05
"24","1902_MC3hD",203.394974574265,-0.0030512037052751,19.4044515437927,"MC3h","MCAV","223",6,1902,19,"dark","deep",20.560682471603,580,0.58,-0.00176969814905956,"0",0.000236504451292164
"25","1902_MF1h",189.852954722408,0.0114642808859413,19.3986555434852,"MF1h","OFRA","321",10,1902,19,"light","deep",21.0147180023372,579,0.579,0.00663781863296002,"0",-4.53503572121908e-05
"26","1902_MF1hD",192.571844974509,-0.00504992079938113,19.3479776353296,"MF1h","OFRA","321",10,1902,19,"dark","deep",21.0147180023372,579,0.579,-0.00292390414284168,"0",0.000236504451292164
"27","1902_ML3h",221.76628919139,0.0159267087010067,19.5360471535636,"ML3h","DLAB","423",1,1902,19,"light","deep",23.7256692542412,560,0.56,0.00891895687256378,"0",-4.53503572121908e-05
"28","1902_ML3hD",225.232958001848,-0.00638355723288147,19.5459094747748,"ML3h","DLAB","423",1,1902,19,"dark","deep",23.7256692542412,560,0.56,-0.00357479205041362,"0",0.000236504451292164
"29","1902_SA1h",212.815763517096,0.0133310947186958,19.4777328020928,"SA1h","PAST","111",9,1902,19,"light","shallow",23.0245998921057,558,0.558,0.00743875085303227,"0",-4.53503572121908e-05
"30","1902_SA1hD",216.436989514705,-0.00535888345906015,19.3971447183268,"SA1h","PAST","111",9,1902,19,"dark","shallow",23.0245998921057,558,0.558,-0.00299025697015556,"0",0.000236504451292164
"31","1902_SC3h",214.842017359525,0.00441644475416348,19.3466441046179,"SC3h","MCAV","213",8,1902,19,"light","shallow",18.0306243398189,588,0.588,0.00259686951544813,"0",-4.53503572121908e-05
