"","fragment.ID.full","Temp.C","fragment.ID","species","temp.Cat","treatment","genotype","rate.type","umol.cm2.hr","log.rate","K"
"82","2603_MC3b",26.75235871,"MC3b","MCAV",26,"deep","MC3","GP",2.188199421,1.15945631261022,299.90235871
"83","2603_MF2b",26.73390461,"MF2b","OFRA",26,"deep","MF2","GP",2.15906256,1.15027532535922,299.88390461
"84","2603_ML2b",26.54160015,"ML2b","DLAB",26,"deep","ML2","GP",2.10290991,1.13234035185109,299.69160015
"85","2603_SA2b",26.73886193,"SA2b","PAST",26,"shallow","SA2","GP",1.573279697,0.945181232016639,299.88886193
"86","2603_SC3b",26.66562267,"SC3b","MCAV",26,"shallow","SC3","GP",1.274265554,0.821657166874398,299.81562267
"87","2603_SF2b",26.64301224,"SF2b","OFRA",26,"shallow","SF2","GP",2.008824591,1.10154950116638,299.79301224
"88","2603_SL2b",26.49152045,"SL2b","DLAB",26,"shallow","SL2","GP",2.4764268,1.24600498467583,299.64152045
"89","2901_MA2e",29.21553139,"MA2e","PAST",29,"deep","MA2","GP",1.000785946,0.693540076366278,302.36553139
"90","2901_MC2e",29.23140276,"MC2e","MCAV",29,"deep","MC2","GP",1.438759211,0.891489389882956,302.38140276
"91","2901_MF1e",29.22986688,"MF1e","OFRA",29,"deep","MF1","GP",2.479178069,1.24679607882086,302.37986688
"92","2901_ML1e",29.2516397,"ML1e","DLAB",29,"deep","ML1","GP",2.446717625,1.23742236511913,302.4016397
"93","2901_SF1e",29.17168588,"SF1e","OFRA",29,"shallow","SF1","GP",1.777022265,1.02137922593746,302.32168588
"94","2901_SL3e",29.18734915,"SL3e","DLAB",29,"shallow","SL3","GP",2.230113404,1.17251724621576,302.33734915
"95","2902_MA3e",29.18732802,"MA3e","PAST",29,"deep","MA3","GP",2.161098158,1.15091948558273,302.33732802
"96","2902_MC3e",29.30078769,"MC3e","MCAV",29,"deep","MC3","GP",2.034302593,1.10998160996774,302.45078769
"97","2902_MF3e",29.34466851,"MF3e","OFRA",29,"deep","MF3","GP",2.04576322,1.11375151671739,302.49466851
"98","2902_ML2e",29.31765526,"ML2e","DLAB",29,"deep","ML2","GP",2.600936263,1.28119388470449,302.46765526
"99","2902_SA2e",29.28028458,"SA2e","PAST",29,"shallow","SA2","GP",1.334028842,0.847595891114491,302.43028458
"100","2902_SC1e",29.34181132,"SC1e","MCAV",29,"shallow","SC1","GP",1.656864816,0.977146787049,302.49181132
"101","2902_SC3e",29.22198178,"SC3e","MCAV",29,"shallow","SC3","GP",1.676816393,0.984628175335077,302.37198178
"102","2902_SF3e",29.43510785,"SF3e","OFRA",29,"shallow","SF3","GP",2.255648781,1.18039157407885,302.58510785
"103","2902_SL2e",29.26573175,"SL2e","DLAB",29,"shallow","SL2","GP",2.690613668,1.30579274991623,302.41573175
"104","2903_MA1e",29.56073867,"MA1e","PAST",29,"deep","MA1","GP",2.055964927,1.1170953944714,302.71073867
"105","2903_MC1e",29.5404293,"MC1e","MCAV",29,"deep","MC1","GP",1.371629397,0.863577228203499,302.6904293
"106","2903_MF2e",29.58540819,"MF2e","OFRA",29,"deep","MF2","GP",2.183019268,1.15783020169037,302.73540819
"107","2903_ML3e",29.52838307,"ML3e","DLAB",29,"deep","ML3","GP",2.54468594,1.26544956367591,302.67838307
"108","2903_SA1e",29.62348308,"SA1e","PAST",29,"shallow","SA1","GP",1.461585119,0.900805499752304,302.77348308
"109","2903_SC2e",29.6355142,"SC2e","MCAV",29,"shallow","SC2","GP",1.392577943,0.872371421870745,302.7855142
"110","2903_SF2e",29.55366054,"SF2e","OFRA",29,"shallow","SF2","GP",2.100492465,1.13156095855166,302.70366054
"111","2903_SL1e",29.64870274,"SL1e","DLAB",29,"shallow","SL1","GP",2.285980256,1.18966501107603,302.79870274
"112","3201_MA2g",32.17869459,"MA2g","PAST",32,"deep","MA2","GP",1.71965719,1.00050583927683,305.32869459
"113","3201_MC1g",32.06145752,"MC1g","MCAV",32,"deep","MC1","GP",1.108773844,0.746106661986611,305.21145752
"114","3201_MF3g",32.05995868,"MF3g","OFRA",32,"deep","MF3","GP",1.945361443,1.08023154064232,305.20995868
"115","3201_ML2g",32.04993069,"ML2g","DLAB",32,"deep","ML2","GP",2.530568568,1.26145892539734,305.19993069
"116","3201_SA1g",32.08356481,"SA1g","PAST",32,"shallow","SA1","GP",1.418903283,0.88331424860452,305.23356481
"117","3201_SC3g",31.95133447,"SC3g","MCAV",32,"shallow","SC3","GP",1.040535106,0.71321208032244,305.10133447
"118","3201_SF2g",32.0725811,"SF2g","OFRA",32,"shallow","SF2","GP",3.376002778,1.4761356999458,305.2225811
"119","3201_SL3g",32.09514643,"SL3g","DLAB",32,"shallow","SL3","GP",2.573124536,1.27344043317777,305.24514643
"120","3202_MA1g",32.26629901,"MA1g","PAST",32,"deep","MA1","GP",1.91773164,1.07080647877061,305.41629901
"121","3202_MC2g",32.36411949,"MC2g","MCAV",32,"deep","MC2","GP",1.268735002,0.819222408320468,305.51411949
"122","3202_MF2g",32.40541272,"MF2g","OFRA",32,"deep","MF2","GP",1.396214096,0.873890031853884,305.55541272
"123","3202_ML3g",32.51734596,"ML3g","DLAB",32,"deep","ML3","GP",2.174450326,1.15513449168739,305.66734596
"124","3202_SA2g",32.38364193,"SA2g","PAST",32,"shallow","SA2","GP",1.419524925,0.883571208913404,305.53364193
"125","3202_SC1g",32.17940159,"SC1g","MCAV",32,"shallow","SC1","GP",1.41497092,0.88168724562417,305.32940159
"126","3202_SF3g",32.3880204,"SF3g","OFRA",32,"shallow","SF3","GP",2.354513247,1.21030667703671,305.5380204
"127","3202_SL2g",32.32156681,"SL2g","DLAB",32,"shallow","SL2","GP",2.165137297,1.15219643443409,305.47156681
"128","3203_MA3g",32.48217587,"MA3g","PAST",32,"deep","MA3","GP",0.774536006,0.573538983684696,305.63217587
"129","3203_MC3g",32.71518562,"MC3g","MCAV",32,"deep","MC3","GP",1.004277078,0.695283436140293,305.86518562
"130","3203_MF1g",32.66241867,"MF1g","OFRA",32,"deep","MF1","GP",1.657137893,0.977249563436291,305.81241867
"131","3203_ML1g",32.632899,"ML1g","DLAB",32,"deep","ML1","GP",1.478410509,0.907617430907113,305.782899
"132","3203_SA3g",32.61849441,"SA3g","PAST",32,"shallow","SA3","GP",0.559174814,0.444156715925286,305.76849441
"133","3203_SC2g",32.87459664,"SC2g","MCAV",32,"shallow","SC2","GP",0.991949234,0.689113673897901,306.02459664
"134","3203_SF1g",32.73067225,"SF1g","OFRA",32,"shallow","SF1","GP",0.901749696,0.642774355042494,305.88067225
"135","3203_SL1g",32.79332452,"SL1g","DLAB",32,"shallow","SL1","GP",0.673757244,0.515070946019854,305.94332452
"136","3401_MA3f",34.26209419,"MA3f","PAST",34,"deep","MA3","GP",0.694462124,0.527365359498835,307.41209419
"137","3401_MC1f",34.26697561,"MC1f","MCAV",34,"deep","MC1","GP",0.803426821,0.589688644436201,307.41697561
"138","3401_MF3f",34.24929989,"MF3f","OFRA",34,"deep","MF3","GP",0.510297757,0.412306821453652,307.39929989
"139","3401_ML2f",34.34418364,"ML2f","DLAB",34,"deep","ML2","GP",1.193630705,0.785558027266241,307.49418364
"140","3401_SA3f",34.21157049,"SA3f","PAST",34,"shallow","SA3","GP",0.30945429,0.269610477903541,307.36157049
"141","3401_SC1f",34.33883618,"SC1f","MCAV",34,"shallow","SC1","GP",1.03195622,0.708998984208542,307.48883618
"142","3401_SF1f",34.37495529,"SF1f","OFRA",34,"shallow","SF1","GP",0.37633258,0.319422410887668,307.52495529
"143","3401_SL3f",34.47471355,"SL3f","DLAB",34,"shallow","SL3","GP",0.814247282,0.59567066103526,307.62471355
"144","3402_MA2f",34.36207169,"MA2f","PAST",34,"deep","MA2","GP",0.475549449,0.389030428224589,307.51207169
"145","3402_MC3f",34.22164823,"MC3f","MCAV",34,"deep","MC3","GP",1.165674188,0.772731716211786,307.37164823
"146","3402_MF1f",34.36107548,"MF1f","OFRA",34,"deep","MF1","GP",0.717888442,0.541095886645792,307.51107548
"147","3402_ML1f",34.20002571,"ML1f","DLAB",34,"deep","ML1","GP",1.665715765,0.980472601294063,307.35002571
"148","3402_SA2f",34.25604849,"SA2f","PAST",34,"shallow","SA2","GP",0.432756823,0.359600436609022,307.40604849
