"","K","lwr_CI","upr_CI",".fitted","genotype","treatment","rate.type","species","group","term","estimate","std.error","statistic","p.value","fragment.ID2"
"384",299.148864264056,1.10765515950479,1.25476880874902,1.21072111282336,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"385",299.219033125783,1.10859729358151,1.25578383663773,1.21189692667502,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"386",299.219033125783,1.10859729358151,1.25578383663773,1.21189692667502,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"387",299.219033125783,1.10859729358151,1.25578383663773,1.21189692667502,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"388",299.219033125783,1.10859729358151,1.25578383663773,1.21189692667502,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"389",299.28920198751,1.10953604108873,1.25677003048051,1.2130592215931,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"390",299.28920198751,1.10953604108873,1.25677003048051,1.2130592215931,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"391",299.28920198751,1.10953604108873,1.25677003048051,1.2130592215931,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"392",299.28920198751,1.10953604108873,1.25677003048051,1.2130592215931,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"393",299.359370849237,1.11047124798773,1.25772655079831,1.21420749362511,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"394",299.359370849237,1.11047124798773,1.25772655079831,1.21420749362511,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
"395",299.359370849237,1.11047124798773,1.25772655079831,1.21420749362511,"ML2","deep","GP","DLAB","deep GP DLAB","Eh",5.55365954577927,0.808706483866074,6.86733648929046,0.00235488723247045,"ML"
"396",299.359370849237,1.11047124798773,1.25772655079831,1.21420749362511,"ML2","deep","GP","DLAB","deep GP DLAB","Th",307.908301867049,0.350686003607464,878.017082802377,1.00956812932228e-11,"ML"
"397",299.429539710964,1.11140275217216,1.25865253493753,1.21534121959538,"ML2","deep","GP","DLAB","deep GP DLAB","lnc",1.23073949606017,0.0380059385496084,32.3828207650683,5.42171390818411e-06,"ML"
"398",299.429539710964,1.11140275217216,1.25865253493753,1.21534121959538,"ML2","deep","GP","DLAB","deep GP DLAB","E",0.176663230627333,0.0604784144021819,2.92109560698005,0.043196148848203,"ML"
